-94217	-93089	-92689	-93929	-94561	-94073	-92817	-92753	-93745	-94393	-93937	-92921	-92929	-93777	-94577	-94361	-93321	-93201	-94201	-94481	-93145	-92753	-94457	-95337	-94641	-93297	-92857	-94081	-95145	-94145	-92729	-92745	-94097	-95249	-94505	-92993	-92873	-94209	-95241	-94169	-92641	-92569	-93545	-94889	-94617	-93281	-92905	-94433	-95465	-94265	-92625	-92521	-94153	-95281	-94265	-92649	-92561	-94361	-95665	-94481	-92745	-92649	-94161	-95289	-93985	-92593	-92745	-94209	-95433	-94113	-92593	-92577	-94409	-95553	-94361	-92817	-92801	-94609	-95777	-94497	-92873	-92777	-94505	-95777	-94545	-92817	-92689	-94313	-95561	-94369	-92761	-92713	-94665	-95841	-94537	-92761	-92545	-94457	-95633	-94329	-92497	-92385	-94433	-95817	-94369	-92665	-92633	-94337	-95289	-93649	-92161	-92369	-94473	-95737	-94337	-92505	-92489	-94401	-95481	-93689	-92177	-92585	-94289	-95545	-94337	-92449	-92257	-93897	-95377	-94249	-92617	-92753	-94505	-95977	-94297	-92113	-92009	-94009	-95753	-94369	-92169	-92521	-94977	-95993	-94473	-92585	-92313	-94801	-96273	-94545	-92369	-92353	-94433	-95817	-94353	-92545	-92569	-94553	-96065	-94521	-92481	-92321	-94033	-94985	-93833	-92721	-92577	-94177	-95289	-94041	-92577	-92401	-94185	-95385	-93889	-91937	-92297	-94289	-95665	-94417	-92473	-92513	-94489	-95609	-94225	-92425	-92329	-94513	-95681	-94209	-92377	-92185	-94665	-96505	-94665	-92441	-92273	-94345	-95737	-94353	-92409	-92193	-94161	-95497	-94153	-92297	-92201	-94289	-95713	-94137	-92177	-92265	-94321	-95793	-94401	-92449	-92265	-94513	-95897	-94465	-92649	-92641	-94817	-96073	-94705	-92801	-92721	-94745	-95961	-94417	-92777	-92801	-94681	-95905	-94481	-92929	-93057	-94761	-95657	-94353	-93041	-92905	-94337	-95209	-94337	-93145	-93665	-95009	-95785	-94569	
-169673	-168665	-168249	-168929	-170121	-169729	-168681	-168833	-169681	-169969	-169609	-168721	-168697	-169553	-170057	-169753	-168905	-168881	-169841	-170273	-169145	-168769	-169969	-170897	-170057	-168721	-168441	-169721	-170649	-169793	-168577	-168457	-169841	-171049	-170209	-168849	-168705	-169977	-171097	-170089	-168673	-168537	-169801	-170873	-169937	-168625	-168545	-170121	-171097	-170105	-168729	-168681	-170169	-171241	-170193	-168777	-168609	-170169	-171329	-170249	-168769	-168761	-170177	-171161	-170073	-168689	-168785	-170145	-171193	-170097	-168793	-168905	-170417	-171377	-170321	-169017	-169113	-170801	-171833	-170617	-169137	-169129	-170713	-171833	-170657	-169113	-169041	-170505	-171633	-170505	-169033	-169241	-171033	-172089	-170673	-169033	-169049	-170785	-171793	-170377	-168761	-168897	-170785	-172033	-170561	-168913	-168897	-170537	-171489	-170065	-168641	-168897	-170841	-171945	-170529	-168873	-169089	-170929	-171913	-170313	-168737	-169097	-170953	-171649	-170249	-168817	-168793	-170633	-171865	-170825	-169329	-169233	-170761	-172201	-170793	-169177	-169065	-170865	-172297	-170793	-168857	-169033	-171209	-172521	-171161	-169385	-169345	-171225	-172473	-171105	-169289	-169441	-171369	-172417	-170729	-169025	-169377	-171337	-172705	-171233	-169209	-169289	-170865	-171729	-170777	-169393	-169457	-171033	-171753	-170377	-169249	-169689	-171441	-172321	-170713	-168617	-169121	-171481	-172961	-171425	-169593	-169641	-171553	-172673	-171081	-169409	-169529	-171537	-172673	-171249	-169593	-169737	-171785	-172921	-171265	-169513	-169513	-171441	-172841	-171433	-169561	-169497	-171305	-172601	-171105	-169441	-169601	-171449	-172793	-171281	-169481	-169793	-171721	-173177	-171745	-169961	-169953	-171817	-173073	-171657	-169977	-170017	-172049	-173217	-171881	-170233	-170257	-172065	-173137	-171761	-170233	-170089	-171753	-173081	-171553	-170521	-170889	-172289	-172705	-171537	-170657	-170841	-172289	-172913	-171745	-170505	-170673	-172233	-173145	-171881	


-93137	-93145	-94601	-95385	-94337	-92889	-92777	-94393	-95881	-94673	-93169	-93113	-94513	-95337	-94145	-92825	-93193	-95097	-96025	-94649	-93081	-93105	-94913	-95953	-94937	-93505	-93345	-94769	-95593	-94481	-93153	-93393	-94593	-95361	-94409	-93361	-93297	-94809	-95705	-94641	-93449	-93233	-94553	-95457	-94793	-93321	-93081	-94753	-95529	-94321	-93257	-93489	-94585	-95177	-94081	-93265	-93265	-94593	-95673	-94825	-93425	-93281	-94217	-94865	-94329	-93081	-93281	-94585	-95249	-94313	-93097	-92865	-94049	-95065	-94393	-93425	-93233	-94249	-95017	-94113	-93129	-93113	-94305	-95225	-94321	-93121	-93049	-94273	-95217	-94417	-93169	-93113	-94337	-95209	-94289	-93201	-93065	-94305	-95369	-94337	-93129	-93009	-94193	-95433	-94585	-93481	-93489	-94281	-95057	-94553	-93345	-93401	-94681	-95497	-94433	-93081	-93017	-94441	-95481	-94633	-93337	-93137	-94649	-95817	-94473	-93105	-93649	-95113	-95857	-94441	-92841	-93257	-94833	-95817	-94825	-93361	-93161	-94369	-95457	-94457	-93089	-93121	-94601	-95577	-94897	-93513	-93281	-94601	-95681	-94593	-93513	-93545	-94841	-95761	-94713	-93401	-93361	-94617	-95577	-94769	-93345	-93353	-94793	-95873	-95033	-93857	-93569	-94681	-95561	-94513	-93393	-93297	-94697	-95737	-94665	-93337	-93417	-94505	-95465	-94521	-93625	-93633	-94649	-95297	-94457	-93817	-93681	-94641	-95545	-94505	-93241	-93521	-94705	-95361	-94521	-93385	-93321	-94625	-95561	-94593	-93233	-92881	-94425	-95593	-94721	-93321	-93281	-94473	-95721	-94849	-93785	-93681	-94721	-95569	-94593	-93529	-93217	-94545	-95377	-94305	-93697	-93889	-94665	-95441	-94689	-93745	-93417	-94617	-95705	-94985	-93849	-93649	-94785	-95545	-94905	-93833	-93713	-94785	-95713	-94913	-93521	-93929	-95153	-95849	-94865	-93697	-93745	-94945	-95737	-94809	
-170521	-170593	-171817	-172625	-171561	-170801	-170433	-171889	-173169	-172241	-171113	-171041	-172041	-172921	-172033	-170745	-170889	-172489	-173105	-171785	-170809	-170961	-172409	-173169	-172329	-171097	-171017	-172041	-172785	-172209	-171057	-171033	-172169	-172945	-172377	-171129	-171081	-172281	-173009	-172185	-171113	-171065	-172177	-172977	-172265	-171001	-170889	-172441	-173225	-172225	-171089	-170953	-171841	-172297	-171745	-171569	-171393	-172577	-173689	-172745	-171369	-171369	-172417	-173169	-172249	-171041	-171361	-172553	-173161	-172201	-171129	-171161	-172265	-173137	-172369	-171361	-171449	-172553	-173153	-172225	-171297	-171489	-172649	-173337	-172345	-171345	-171249	-172481	-173449	-172689	-171409	-171601	-172569	-173185	-172529	-171465	-171625	-172745	-173521	-172705	-171697	-171537	-172529	-173689	-172809	-171777	-171681	-172649	-173409	-172609	-171449	-171465	-172713	-173393	-172281	-171393	-171449	-172641	-173329	-172609	-171809	-171697	-172953	-174201	-173065	-171889	-172105	-173393	-174193	-172729	-171289	-171681	-173057	-173905	-172825	-171561	-171465	-172761	-173737	-172913	-171657	-171721	-172953	-173713	-172841	-171953	-172113	-173209	-173953	-173089	-172145	-171937	-173313	-173945	-173097	-172241	-171961	-172921	-174073	-173217	-172169	-172145	-173185	-174113	-173377	-172569	-172337	-173241	-173945	-173209	-172265	-172313	-173449	-174153	-173257	-172201	-172009	-173001	-173969	-173185	-172281	-172297	-173297	-173849	-173049	-172297	-172297	-173393	-174217	-173289	-172249	-172385	-173409	-174145	-173321	-172241	-172161	-173265	-174169	-173393	-172217	-171929	-173169	-174321	-173513	-172329	-172209	-173281	-174281	-173321	-172361	-172545	-173577	-174393	-173537	-172433	-172281	-173361	-173897	-173153	-172673	-172681	-173521	-173857	-173225	-172825	-172593	-173577	-174553	-173849	-172913	-172705	-173841	-174577	-173809	-172649	-172793	-174089	-174809	-173945	-172769	-172865	-173865	-174577	-174185	-173073	-172769	-173729	-174737	-174097	


-93977	-93841	-94961	-95817	-94913	-93601	-93529	-94673	-95897	-95089	-93857	-93649	-94769	-95729	-95121	-93897	-93505	-94817	-95409	-95153	-94065	-93921	-95297	-95961	-94937	-93641	-93673	-94993	-95857	-95065	-93737	-93617	-94769	-95905	-95241	-93897	-93705	-94649	-95625	-94945	-93633	-93569	-94769	-95769	-94929	-94113	-94009	-94953	-95809	-95081	-93633	-93633	-94977	-95945	-95121	-93937	-93481	-94753	-95665	-95017	-94081	-93961	-95177	-95905	-94873	-93785	-93729	-95033	-95961	-95425	-94185	-93777	-94961	-95961	-95049	-93889	-93785	-94777	-95697	-94817	-94129	-94081	-95121	-95961	-95193	-94025	-93897	-94825	-95841	-95273	-94321	-93897	-94801	-95961	-95425	-94097	-93673	-94721	-95977	-95393	-94153	-93929	-95017	-95969	-94993	-93873	-94049	-95281	-96113	-95297	-94161	-93809	-95089	-96017	-95305	-94129	-93833	-94841	-95713	-95217	-94073	-93737	-94961	-95769	-95273	-94113	-93737	-94777	-95889	-95065	-94137	-94009	-94817	-95801	-95313	-94449	-94121	-95097	-96017	-95249	-94257	-93897	-94825	-95729	-95089	-94121	-93937	-94937	-95905	-94969	-94225	-94161	-95129	-96057	-95241	-94097	-93929	-95025	-96105	-95353	-94249	-93897	-94937	-95673	-95105	-94057	-93641	-94953	-95921	-95153	-94265	-93953	-95001	-95873	-95449	-94321	-94065	-95065	-95961	-95185	-94129	-93897	-94913	-95825	-95033	-94001	-93745	-94785	-95705	-95009	-94041	-93625	-94817	-96145	-95449	-93937	-93521	-95249	-96481	-95297	-93713	-93801	-95289	-96449	-95145	-93617	-93321	-95265	-96745	-95345	-93409	-93065	-95377	-97033	-95577	-93777	-93505	-95481	-96857	-95417	-93713	-93377	-95457	-96961	-95521	-93817	-93497	-95289	-97017	-95697	-93393	-93137	-95537	-96897	-95721	-93705	-93545	-95737	-96721	-95497	-94065	-93761	-95585	-97113	-95889	-93881	-93417	-95481	-96937	-95585	
-173065	-172977	-174009	-174625	-173769	-172961	-173025	-174161	-174921	-174161	-173057	-173009	-174137	-174873	-174081	-173185	-173113	-174113	-174657	-173929	-173129	-173249	-174289	-174905	-174073	-172945	-173097	-174281	-175129	-174385	-173289	-173105	-174201	-175057	-174289	-173209	-172993	-174153	-174945	-174129	-172929	-173033	-174145	-174881	-174185	-173337	-173449	-174441	-175129	-174393	-173281	-173161	-174417	-175369	-174569	-173345	-173161	-174321	-175329	-174737	-173649	-173441	-174553	-175265	-174393	-173449	-173241	-174433	-175313	-174825	-173801	-173553	-174561	-175441	-174593	-173481	-173425	-174465	-175233	-174633	-173769	-173569	-174569	-175305	-174705	-173825	-173705	-174609	-175417	-174817	-173761	-173625	-174689	-175577	-174913	-173801	-173569	-174713	-175601	-175049	-173849	-173705	-174729	-175721	-175121	-173841	-173897	-175113	-175793	-175049	-173897	-173785	-174985	-175777	-175129	-174233	-174009	-174761	-175465	-175025	-174033	-173961	-175033	-175921	-175201	-174097	-173937	-174977	-175801	-175081	-174017	-173793	-174889	-175585	-175025	-174385	-174089	-175065	-175849	-175137	-174201	-173937	-174737	-175641	-175025	-174321	-174393	-175201	-175921	-175201	-174257	-174185	-175017	-175833	-175265	-174265	-174169	-175105	-175817	-175265	-174305	-173953	-174945	-175777	-175217	-174169	-173961	-175185	-176057	-175289	-174297	-174321	-175097	-176129	-175337	-174305	-174313	-175337	-176065	-175209	-174257	-174129	-175193	-175929	-175257	-174417	-174209	-175161	-176033	-175121	-174257	-174073	-175313	-176377	-175473	-174209	-174081	-175457	-176465	-175393	-174193	-174305	-175617	-176601	-175705	-174169	-173945	-175697	-177009	-175721	-174185	-173769	-175569	-177185	-175977	-174257	-174073	-176009	-177361	-176033	-174217	-174009	-175985	-177297	-175961	-174305	-174169	-175889	-177329	-176097	-174289	-174121	-176009	-177361	-176081	-174161	-174145	-176265	-177441	-175945	-174369	-174353	-176225	-177681	-176489	-174577	-174337	-176153	-177441	-176129	
